id,"date",start_time,user_id,"created_at","updated_at"
1,"2015-07-03",11,1,"2015-10-13 06:23:14","2015-10-13 06:23:14"
2,"2015-07-07",15,1,"2015-10-13 06:23:14","2015-10-13 06:23:14"
3,"2015-07-08",15,1,"2015-10-13 06:23:14","2015-10-13 06:23:14"
4,"2015-07-09",19,1,"2015-10-13 06:23:14","2015-10-13 06:23:14"
5,"2015-07-14",15,1,"2015-10-13 06:23:14","2015-10-13 06:23:14"
6,"2015-07-06",13,2,"2015-10-13 06:23:14","2015-10-13 06:23:14"
7,"2015-07-07",21,2,"2015-10-13 06:23:14","2015-10-13 06:23:14"
8,"2015-07-08",17,2,"2015-10-13 06:23:14","2015-10-13 06:23:14"
9,"2015-07-11",13,2,"2015-10-13 06:23:14","2015-10-13 06:23:14"
10,"2015-07-14",15,2,"2015-10-13 06:23:14","2015-10-13 06:23:14"
11,"2015-07-02",11,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
12,"2015-07-03",17,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
13,"2015-07-07",13,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
14,"2015-07-08",15,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
15,"2015-07-09",19,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
16,"2015-07-10",15,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
17,"2015-07-11",11,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
18,"2015-07-12",13,3,"2015-10-13 06:23:14","2015-10-13 06:23:14"
19,"2015-07-03",15,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
20,"2015-07-04",13,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
21,"2015-07-05",19,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
22,"2015-07-06",15,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
23,"2015-07-08",13,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
24,"2015-07-10",17,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
25,"2015-07-11",15,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
26,"2015-07-12",17,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
27,"2015-07-14",21,4,"2015-10-13 06:23:14","2015-10-13 06:23:14"
28,"2015-07-01",19,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
29,"2015-07-04",11,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
30,"2015-07-05",19,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
31,"2015-07-06",19,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
32,"2015-07-07",21,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
33,"2015-07-13",13,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
34,"2015-07-14",17,5,"2015-10-13 06:23:14","2015-10-13 06:23:14"
35,"2015-07-01",15,6,"2015-10-13 06:23:14","2015-10-13 06:23:14"
36,"2015-07-04",21,6,"2015-10-13 06:23:14","2015-10-13 06:23:14"
37,"2015-07-08",11,6,"2015-10-13 06:23:14","2015-10-13 06:23:14"
38,"2015-07-09",17,6,"2015-10-13 06:23:14","2015-10-13 06:23:14"
39,"2015-07-11",11,6,"2015-10-13 06:23:14","2015-10-13 06:23:14"
40,"2015-07-07",19,7,"2015-10-13 06:23:14","2015-10-13 06:23:14"
41,"2015-07-08",11,7,"2015-10-13 06:23:14","2015-10-13 06:23:14"
42,"2015-07-10",13,7,"2015-10-13 06:23:14","2015-10-13 06:23:14"
43,"2015-07-12",13,7,"2015-10-13 06:23:14","2015-10-13 06:23:14"
44,"2015-07-14",11,7,"2015-10-13 06:23:14","2015-10-13 06:23:14"
45,"2015-07-02",15,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
46,"2015-07-03",15,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
47,"2015-07-05",13,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
48,"2015-07-06",21,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
49,"2015-07-08",21,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
50,"2015-07-09",19,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
51,"2015-07-11",17,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
52,"2015-07-12",15,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
53,"2015-07-13",11,8,"2015-10-13 06:23:14","2015-10-13 06:23:14"
54,"2015-07-04",21,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
55,"2015-07-06",19,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
56,"2015-07-09",21,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
57,"2015-07-12",19,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
58,"2015-07-13",17,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
59,"2015-07-14",11,9,"2015-10-13 06:23:14","2015-10-13 06:23:14"
60,"2015-07-01",13,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
61,"2015-07-03",17,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
62,"2015-07-04",21,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
63,"2015-07-07",15,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
64,"2015-07-08",13,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
65,"2015-07-09",17,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
66,"2015-07-11",17,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
67,"2015-07-12",15,10,"2015-10-13 06:23:14","2015-10-13 06:23:14"
68,"2015-07-03",17,11,"2015-10-13 06:23:14","2015-10-13 06:23:14"
69,"2015-07-05",11,11,"2015-10-13 06:23:14","2015-10-13 06:23:14"
